ID,Antenna,RSSI,LQ,SNR,PWR,FHSS,PFD,NU
2,0,-37,6,10,0,14,46,1
3,0,-37,7,10,0,15,29,1
4,0,-37,10,11,0,15,41,1
5,0,-33,11,11,0,71,36,1
6,0,-32,14,11,0,71,22,1
7,0,-33,15,9,0,65,15,1
8,0,-33,18,11,0,65,-2,1
9,0,-34,19,10,0,58,-12,1
10,0,-34,22,10,0,58,-10,1
11,0,-33,23,12,0,66,-8,1
12,0,-33,26,11,0,66,-3,1
13,0,-36,27,12,0,50,-3,1
14,0,-35,30,10,0,50,1,1
15,0,-36,31,11,0,35,1,1
16,0,-36,34,10,0,35,3,1
17,0,-36,35,10,0,23,4,1
18,0,-36,38,11,0,23,21,1
19,0,-37,39,12,0,21,4,1
20,0,-37,42,11,0,21,3,1
21,0,-35,43,10,0,44,1,1
22,0,-35,46,10,0,44,0,1
23,0,-32,47,11,0,72,-2,1
24,0,-32,50,10,0,72,18,1
25,0,-36,51,12,0,36,1,1
26,0,-36,54,10,0,36,2,1
27,0,-38,55,11,0,3,-2,1
28,0,-38,58,11,0,3,3,1
29,0,-33,59,9,0,64,0,1
30,0,-33,62,11,0,64,1,1
31,0,-34,63,12,0,59,19,1
32,0,-34,66,11,0,59,0,1
33,0,-36,67,10,0,39,-2,1
34,0,-36,70,10,0,39,1,1
35,0,-35,71,11,0,42,1,1
36,0,-36,74,10,0,42,1,1
37,0,-38,75,9,0,7,18,1
38,0,-38,78,10,0,7,-1,1
39,0,-36,79,11,0,31,-3,1
40,0,-36,82,10,0,31,1,1
41,0,-33,83,10,0,63,-2,1
42,0,-33,86,11,0,63,4,1
43,0,-32,87,9,0,69,4,1
44,0,-32,90,10,0,69,3,1
45,0,-36,91,10,0,33,3,1
46,0,-36,94,11,0,33,3,1
47,0,-35,95,11,0,51,-1,1
48,0,-35,98,11,0,51,1,1
49,0,-37,99,10,0,17,-2,1
50,0,-37,100,10,0,17,1,1
51,0,-34,100,11,0,55,-4,1
52,0,-34,100,10,0,55,0,1
53,0,-36,100,12,0,32,1,1
54,0,-36,100,10,0,32,-1,1
55,0,-38,100,12,0,4,1,1
56,0,-38,100,9,0,4,1,1
57,0,-37,100,11,0,25,-2,1
58,0,-37,100,11,0,25,1,1
59,0,-32,100,9,0,78,1,1
60,0,-32,100,11,0,78,1,1
61,0,-36,100,10,0,27,-5,1
62,0,-37,100,11,0,27,2,1
63,0,-33,100,9,0,62,0,1
64,0,-33,100,12,0,62,1,1
65,0,-36,100,10,0,38,1,1
66,0,-36,100,11,0,38,2,1
67,0,-35,100,11,0,52,1,1
68,0,-35,100,11,0,52,19,1
69,0,-37,100,11,0,9,-1,1
70,0,-38,100,10,0,9,0,1
71,0,-36,100,11,0,37,-1,1
72,0,-36,100,10,0,37,0,1
73,0,-33,100,10,0,68,1,1
74,0,-32,100,11,0,68,19,1
75,0,-36,100,10,0,41,0,1
76,0,-36,100,12,0,41,-2,1
77,0,-37,100,9,0,22,-2,1
78,0,-37,100,10,0,22,2,1
79,0,-38,100,11,0,13,2,1
80,0,-38,100,10,0,13,3,1
81,0,-33,100,11,0,61,19,1
82,0,-33,100,11,0,61,1,1
83,0,-32,100,11,0,70,-1,1
84,0,-32,100,12,0,70,2,1
85,0,-38,100,10,0,11,1,1
86,0,-38,100,11,0,11,0,1
87,0,-36,100,11,0,34,19,1
88,0,-37,100,10,0,34,-1,1
89,0,-37,100,10,0,28,-2,1
90,0,-37,100,9,0,28,-1,1
91,0,-32,100,10,0,75,-3,1
92,0,-32,100,9,0,75,3,1
93,0,-37,100,10,0,24,2,1
94,0,-37,100,10,0,24,2,1
95,0,-35,100,10,0,47,0,1
96,0,-36,100,11,0,47,1,1
97,0,-32,100,10,0,74,1,1
98,0,-32,100,11,0,74,3,1
99,0,-35,100,9,0,48,1,1
100,0,-35,100,10,0,48,0,1
101,0,-37,100,10,0,20,-1,1
102,0,-37,100,10,0,20,-1,1
103,0,-34,100,11,0,54,-2,1
104,0,-34,100,10,0,54,2,1
105,0,-38,100,10,0,8,2,1
106,0,-38,100,10,0,8,4,1
107,0,-37,100,10,0,16,1,1
108,0,-37,100,10,0,16,-1,1
109,0,-38,100,10,0,6,0,1
110,0,-38,100,11,0,6,0,1
111,0,-37,100,10,0,18,-1,1
112,0,-36,100,9,0,18,1,1
113,0,-37,100,10,0,19,1,1
114,0,-37,100,10,0,19,-1,1
115,0,-32,100,9,0,76,0,1
116,0,-32,100,11,0,76,3,1
117,0,-38,100,10,0,12,0,1
118,0,-38,100,11,0,12,19,1
119,0,-32,100,9,0,77,1,1
120,0,-32,100,11,0,77,-2,1
121,0,-38,100,9,0,1,0,1
122,0,-38,100,10,0,1,-1,1
123,0,-35,100,11,0,53,-1,1
124,0,-35,100,11,0,53,21,1
125,0,-36,100,11,0,43,5,1
126,0,-36,100,10,0,43,2,1
127,0,-35,100,11,0,43,3,1
128,0,-36,100,11,0,43,2,1
129,0,-34,100,11,0,60,-1,1
130,0,-34,100,11,0,60,2,1
131,0,-34,100,11,0,60,1,1
132,0,-34,100,10,0,60,0,1
133,0,-34,100,9,0,56,1,1
134,0,-34,100,12,0,56,-1,1
135,0,-34,100,10,0,56,1,1
136,0,-34,100,11,0,56,-2,1
137,0,-38,100,10,0,5,18,1
138,0,-38,100,10,0,5,0,1
139,0,-38,100,11,0,5,0,1
140,0,-38,100,10,0,5,0,1
141,0,-38,100,11,0,2,-1,1
142,0,-38,100,11,0,2,0,1
143,0,-38,100,10,0,2,-1,1
144,0,-38,100,11,0,2,1,1
145,0,-35,100,11,0,45,-2,1
146,0,-35,100,11,0,45,-1,1
147,0,-36,100,12,0,45,2,1
148,0,-35,100,11,0,45,3,1
149,0,-32,100,9,0,79,17,1
150,0,-32,100,11,0,79,1,1
151,0,-32,100,11,0,79,2,1
152,0,-32,100,10,0,79,2,1
153,0,-36,100,10,0,30,3,1
154,0,-36,100,11,0,30,2,1
155,0,-36,100,10,0,30,1,1
156,0,-36,100,10,0,30,1,1
157,0,-34,100,11,0,57,2,1
158,0,-34,100,10,0,57,1,1
159,0,-34,100,11,0,57,2,1
160,0,-35,100,11,0,57,-2,1
161,0,-38,100,11,0,10,1,1
162,0,-38,100,9,0,10,18,1
163,0,-38,100,11,0,10,2,1
164,0,-38,100,12,0,10,2,1
165,0,-36,100,11,0,46,0,1
166,0,-35,100,11,0,46,0,1
167,0,-36,100,11,0,46,0,1
168,0,-35,100,10,0,46,1,1
169,0,-33,100,9,0,67,1,1
170,0,-32,100,10,0,67,1,1
171,0,-33,100,11,0,67,0,1
172,0,-33,100,10,0,67,3,1
173,0,-35,100,10,0,49,0,1
174,0,-35,100,9,0,49,18,1
175,0,-35,100,10,0,49,0,1
176,0,-36,100,10,0,49,1,1
177,0,-38,100,11,0,0,-2,1
178,0,-38,100,10,0,0,1,1
179,0,-38,100,11,0,0,0,1
180,0,-38,100,10,0,0,-2,1
181,0,-37,100,12,0,29,0,1
182,0,-37,100,9,0,29,0,1
183,0,-37,100,11,0,29,1,1
184,0,-36,100,10,0,29,1,1
185,0,-37,100,10,0,26,2,1
186,0,-37,100,11,0,26,1,1
187,0,-37,100,10,0,26,20,1
188,0,-37,100,10,0,26,1,1
189,0,-32,100,10,0,73,-1,1
190,0,-32,100,11,0,73,-5,1
191,0,-32,100,10,0,73,-1,1
192,0,-32,100,11,0,73,-1,1
193,0,-36,100,11,0,40,0,1
194,0,-36,100,11,0,40,2,1
195,0,-32,100,11,0,74,2,1
196,0,-32,100,10,0,74,3,1
197,0,-32,100,12,0,74,21,1
198,0,-32,100,11,0,74,3,1
199,0,-33,100,10,0,62,-2,1
200,0,-33,100,10,0,62,1,1
201,0,-33,100,10,0,62,2,1
202,0,-33,100,11,0,62,1,1
203,0,-32,100,9,0,76,2,1
204,0,-33,100,11,0,76,1,1
205,0,-32,100,10,0,76,3,1
206,0,-32,100,9,0,76,3,1
207,0,-37,100,11,0,24,3,1
208,0,-37,100,10,0,24,-2,1
209,0,-37,100,11,0,24,2,1
210,0,-37,100,11,0,24,17,1
211,0,-34,100,10,0,57,0,1
212,0,-34,100,11,0,57,0,1
213,0,-34,100,10,0,57,1,1
214,0,-34,100,10,0,57,1,1
215,0,-33,100,12,0,66,-2,1
216,0,-33,100,10,0,66,0,1
217,0,-33,100,11,0,66,1,1
218,0,-33,100,10,0,66,1,1
219,0,-34,100,9,0,58,0,1
220,0,-34,100,10,0,58,0,1
221,0,-34,100,10,0,58,-2,1
222,0,-34,100,12,0,58,18,1
223,0,-32,100,10,0,79,2,1
224,0,-32,100,10,0,79,0,1
225,0,-32,100,9,0,79,1,1
226,0,-32,100,10,0,79,0,1
227,0,-37,100,11,0,22,1,1
228,0,-37,100,10,0,22,0,1
229,0,-37,100,10,0,22,1,1
230,0,-37,100,10,0,22,0,1
231,0,-33,100,11,0,64,1,1
232,0,-33,100,9,0,64,-2,1
233,0,-34,100,10,0,64,1,1
234,0,-33,100,11,0,64,-3,1
235,0,-37,100,10,0,16,18,1
236,0,-37,100,11,0,16,2,1
237,0,-37,100,10,0,16,-1,1
238,0,-37,100,11,0,16,2,1
239,0,-32,100,10,0,73,1,1
240,0,-32,100,10,0,73,1,1
241,0,-32,100,10,0,73,3,1
242,0,-32,100,11,0,73,3,1
243,0,-38,100,10,0,3,1,1
244,0,-38,100,10,0,3,1,1
245,0,-38,100,9,0,3,-1,1
246,0,-38,100,12,0,3,3,1
248,0,-35,100,10,0,41,2,1
249,0,-36,100,11,0,41,2,1
250,0,-36,100,10,0,41,1,1
251,0,-34,100,11,0,61,0,1
252,0,-34,100,10,0,61,0,1
253,0,-34,100,10,0,61,-1,1
254,0,-34,100,10,0,61,-4,1
255,0,-37,100,10,0,25,-1,1
256,0,-37,100,11,0,25,-4,1
257,0,-37,100,11,0,25,2,1
258,0,-37,100,10,0,25,2,1
259,0,-38,100,12,0,13,4,1
260,0,-38,100,10,0,13,20,1
261,0,-38,100,10,0,13,2,1
262,0,-38,100,11,0,13,3,1
263,0,-37,100,10,0,23,2,1
264,0,-37,100,11,0,23,0,1
265,0,-37,100,10,0,23,1,1
266,0,-37,100,11,0,23,2,1
267,0,-35,100,9,0,47,0,1
268,0,-36,100,11,0,47,3,1
269,0,-35,100,11,0,47,1,1
270,0,-35,100,11,0,47,2,1
271,0,-37,100,11,0,27,1,1
272,0,-37,100,12,0,27,17,1
273,0,-37,100,10,0,27,1,1
274,0,-37,100,11,0,27,1,1
275,0,-38,100,11,0,0,0,1
276,0,-38,100,10,0,0,0,1
277,0,-38,100,12,0,0,-1,1
278,0,-38,100,12,0,0,1,1
279,0,-33,100,12,0,65,0,1
280,0,-33,100,9,0,65,-3,1
281,0,-33,100,11,0,65,-1,1
282,0,-33,100,10,0,65,2,1
283,0,-37,100,10,0,35,2,1
284,0,-36,100,12,0,35,1,1
285,0,-36,100,11,0,35,20,1
286,0,-37,100,12,0,35,0,1
287,0,-38,100,9,0,8,2,1
288,0,-38,100,10,0,8,-3,1
289,0,-38,100,11,0,8,1,1
290,0,-38,100,10,0,8,2,1
291,0,-36,100,11,0,38,0,1
292,0,-36,100,10,0,38,-1,1
293,0,-36,100,11,0,38,1,1
294,0,-36,100,10,0,38,1,1
295,0,-36,100,11,0,31,0,1
296,0,-36,100,10,0,31,0,1
297,0,-36,100,10,0,31,19,1
298,0,-36,100,11,0,31,3,1
299,0,-35,100,10,0,45,-1,1
300,0,-35,100,10,0,45,-1,1
301,0,-36,100,10,0,45,-1,1
302,0,-35,100,10,0,45,0,1
303,0,-36,100,10,0,37,-1,1
304,0,-37,100,11,0,37,-2,1
305,0,-36,100,10,0,37,0,1
306,0,-37,100,10,0,37,1,1
307,0,-37,100,10,0,36,2,1
421,0,-38,100,11,0,7,2,1
422,0,-38,100,10,0,7,15,1
423,0,-36,100,11,0,30,3,1
424,0,-36,100,12,0,30,3,1
425,0,-36,100,12,0,30,4,1
426,0,-36,100,12,0,30,1,1
427,0,-37,100,10,0,19,3,1
428,0,-37,100,11,0,19,1,1
429,0,-37,100,10,0,19,2,1
430,0,-37,100,11,0,19,2,1
431,0,-32,100,11,0,70,1,1
432,0,-32,100,12,0,70,0,1
433,0,-32,100,11,0,70,0,1
434,0,-32,100,11,0,70,0,1
435,0,-33,100,10,0,63,16,1
436,0,-33,100,11,0,63,-3,1
437,0,-33,100,11,0,63,-7,1
438,0,-33,100,11,0,63,-4,1
439,0,-36,100,11,0,26,-5,1
440,0,-36,100,11,0,26,-6,1
441,0,-36,100,11,0,26,-5,1
442,0,-37,100,9,0,26,-2,1
443,0,-35,100,11,0,44,-4,1
444,0,-35,100,11,0,44,-6,1
445,0,-35,100,10,0,44,-2,1
446,0,-35,100,10,0,44,-1,1
447,0,-36,100,10,0,42,17,1
448,0,-35,100,10,0,42,-1,1
449,0,-36,100,10,0,42,1,1
450,0,-36,100,10,0,42,0,1
451,0,-38,100,10,0,10,-1,1
452,0,-38,100,10,0,10,-2,1
453,0,-38,100,11,0,10,-1,1
454,0,-38,100,10,0,10,-2,1
455,0,-33,100,12,0,68,-2,1
456,0,-33,100,9,0,68,-1,1
457,0,-33,100,10,0,68,-3,1
458,0,-33,100,11,0,68,-4,1
459,0,-38,100,10,0,5,0,1
460,0,-38,100,11,0,5,17,1
461,0,-38,100,10,0,5,-3,1
462,0,-38,100,11,0,5,0,1
463,0,-32,100,10,0,77,1,1
464,0,-32,100,10,0,77,0,1
465,0,-32,100,10,0,77,-1,1
466,0,-32,100,11,0,77,-3,1
467,0,-37,100,10,0,17,-5,1
468,0,-37,100,12,0,17,0,1
469,0,-37,100,10,0,17,0,1
470,0,-37,100,11,0,17,1,1
471,0,-34,100,11,0,55,1,1
472,0,-34,100,11,0,55,18,1
473,0,-34,100,10,0,55,2,1
474,0,-34,100,10,0,55,0,1
475,0,-37,100,11,0,15,2,1
476,0,-37,100,10,0,15,0,1
477,0,-37,100,11,0,15,0,1
478,0,-37,100,11,0,15,-2,1
479,0,-32,100,11,0,78,-4,1
480,0,-32,100,12,0,78,-6,1
481,0,-32,100,10,0,78,-1,1
482,0,-32,100,12,0,78,-4,1
483,0,-35,100,10,0,33,-1,1
484,0,-36,100,11,0,33,-4,1
485,0,-36,100,11,0,33,17,1
486,0,-36,100,11,0,33,1,1
487,0,-34,100,10,0,60,0,1
488,0,-33,100,11,0,60,-2,1
489,0,-34,100,11,0,60,-1,1
490,0,-34,100,9,0,60,-1,1
491,0,-37,100,10,0,18,0,1
492,0,-37,100,11,0,18,-5,1
493,0,-37,100,11,0,18,0,1
494,0,-37,100,10,0,18,0,1
495,0,-34,100,10,0,52,1,1
496,0,-35,100,10,0,52,2,1
497,0,-34,100,11,0,52,20,1
498,0,-35,100,10,0,52,3,1
499,0,-38,100,10,0,4,1,1
500,0,-38,100,11,0,4,-3,1
501,0,-38,100,10,0,4,0,1
502,0,-38,100,10,0,4,-2,1
503,0,-35,100,10,0,51,-4,1
504,0,-35,100,10,0,51,-5,1
505,0,-35,100,9,0,51,-1,1
506,0,-35,100,10,0,51,0,1
507,0,-37,100,10,0,21,2,1
