File 1,File 2,Lines Matched
../mysql-files/source/1015/2344668899accdde (84%),../mysql-files/source/1015/1114578bddfff (75%),22
../mysql-files/source/1015/00334467799ccccd (72%),../mysql-files/source/1015/1224579bddef (56%),13
../mysql-files/source/1015/001123499abbbc (88%),../mysql-files/source/1015/01335677ccce (84%),12
../mysql-files/source/1015/45568899bcdf (86%),../mysql-files/source/1015/01455568abbbbccdeef (86%),9
../mysql-files/source/1015/0023388abbdef (87%),../mysql-files/source/1015/1125799ccdeef (87%),10
../mysql-files/source/1015/0111455678aeff (85%),../mysql-files/source/1015/001224678bbbcee (85%),5
../mysql-files/source/1015/45667889af (85%),../mysql-files/source/1015/001677889cdef (85%),7
../mysql-files/source/1015/02333457aae (78%),../mysql-files/source/1015/0011222469aee (81%),10
../mysql-files/source/1015/14456778acef (73%),../mysql-files/source/1015/1245677888abbce (77%),10
../mysql-files/source/1015/01133345888999cf (83%),../mysql-files/source/1015/11223366669aaabddef (83%),6
../mysql-files/source/1015/012334457aae (83%),../mysql-files/source/1015/11223366669aaabddef (83%),6
../mysql-files/source/1015/012334457aae (83%),../mysql-files/source/1015/01133345888999cf (83%),6
../mysql-files/source/1015/013588aabcdeff (84%),../mysql-files/source/1015/001124568bcdf (84%),10
../mysql-files/source/1015/33455679ccddf (84%),../mysql-files/source/1015/001124568bcdf (84%),10
../mysql-files/source/1015/33455679ccddf (84%),../mysql-files/source/1015/013588aabcdeff (84%),8
../mysql-files/source/1015/0226678999abdf (79%),../mysql-files/source/1015/166666788acccdeff (75%),6
../mysql-files/source/1015/022456667788beee (71%),../mysql-files/source/1015/11233457bccddf (65%),8
../mysql-files/source/1015/189aaaacddef (76%),../mysql-files/source/1015/00033335669cff (68%),7
../mysql-files/source/1015/22334889aabce (68%),../mysql-files/source/1015/0123349bcddd (75%),7
../mysql-files/source/1015/2334456899bcdff (84%),../mysql-files/source/1015/223456889acdf (84%),9
../mysql-files/source/1015/1255899acddf (80%),../mysql-files/source/1015/223456889acdf (84%),9
../mysql-files/source/1015/1255899acddf (80%),../mysql-files/source/1015/2334456899bcdff (84%),8
../mysql-files/source/1015/002234667aaddf (77%),../mysql-files/source/1015/001677889cdef (75%),6
../mysql-files/source/1015/45667889af (75%),../mysql-files/source/1015/002234667aaddf (77%),7
../mysql-files/source/1015/002566788bcdeff (57%),../mysql-files/source/1015/02346789abccf (59%),8
../mysql-files/source/1015/02223467889aabbeff (72%),../mysql-files/source/1015/122223566777c (72%),5
../mysql-files/source/1015/1688aaccdddef (72%),../mysql-files/source/1015/122223566777c (72%),5
../mysql-files/source/1015/1688aaccdddef (72%),../mysql-files/source/1015/02223467889aabbeff (72%),5
../mysql-files/source/1015/0122334556679bdd (72%),../mysql-files/source/1015/122223566777c (72%),6
../mysql-files/source/1015/0122334556679bdd (72%),../mysql-files/source/1015/02223467889aabbeff (72%),6
../mysql-files/source/1015/0122334556679bdd (72%),../mysql-files/source/1015/1688aaccdddef (72%),6
../mysql-files/source/1015/0059aaaaacdff (57%),../mysql-files/source/1015/2228aaccccdeef (61%),5
../mysql-files/source/1015/2246788899bce (63%),../mysql-files/source/1015/001677889cdef (70%),6
../mysql-files/source/1015/2246788899bce (63%),../mysql-files/source/1015/002234667aaddf (72%),6
../mysql-files/source/1015/2246788899bce (63%),../mysql-files/source/1015/45667889af (70%),7
../mysql-files/source/1015/13333789adefff (42%),../mysql-files/source/1015/11223355bbccddd (53%),9
../mysql-files/source/1015/035667889aeef (76%),../mysql-files/source/1015/22223469abccdef (36%),7
../mysql-files/source/1015/124567999bcf (66%),../mysql-files/source/1015/133346779bcdff (49%),5
../mysql-files/source/1015/00033335669cff (60%),../mysql-files/source/1015/1336788bf (68%),6
../mysql-files/source/1015/189aaaacddef (66%),../mysql-files/source/1015/1336788bf (68%),7
../mysql-files/source/1015/1245557889c (64%),../mysql-files/source/1015/0013778999bcf (64%),5
../mysql-files/source/1015/0233378999abccdd (53%),../mysql-files/source/1015/055689bbdf (68%),3
../mysql-files/source/1015/02356789aacde (64%),../mysql-files/source/1015/1125799ccdeef (65%),6
../mysql-files/source/1015/0123349bcddd (64%),../mysql-files/source/1015/122223566777c (67%),5
../mysql-files/source/1015/02223467889aabbeff (67%),../mysql-files/source/1015/0123349bcddd (64%),5
../mysql-files/source/1015/0023388abbdef (65%),../mysql-files/source/1015/02356789aacde (64%),5
../mysql-files/source/1015/1688aaccdddef (67%),../mysql-files/source/1015/0123349bcddd (64%),5
../mysql-files/source/1015/22334889aabce (58%),../mysql-files/source/1015/122223566777c (67%),5
../mysql-files/source/1015/22334889aabce (58%),../mysql-files/source/1015/02223467889aabbeff (67%),5
../mysql-files/source/1015/22334889aabce (58%),../mysql-files/source/1015/1688aaccdddef (67%),5
../mysql-files/source/1015/0055abbbccccde (59%),../mysql-files/source/1015/1125799ccdeef (65%),6
../mysql-files/source/1015/0055abbbccccde (59%),../mysql-files/source/1015/02356789aacde (64%),5
../mysql-files/source/1015/0055abbbccccde (59%),../mysql-files/source/1015/0023388abbdef (65%),5
../mysql-files/source/1015/0245666799aabe (51%),../mysql-files/source/1015/02455689bcdddf (43%),7
../mysql-files/source/1015/0122334556679bdd (67%),../mysql-files/source/1015/0123349bcddd (64%),6
../mysql-files/source/1015/0122334556679bdd (67%),../mysql-files/source/1015/22334889aabce (58%),6
../mysql-files/source/1015/2345555889bcde (61%),../mysql-files/source/1015/05566667aacdef (65%),5
../mysql-files/source/1015/3366779abde (69%),../mysql-files/source/1015/000034aacceee (69%),10
../mysql-files/source/1015/0233567888cff (52%),../mysql-files/source/1015/2226889aabce (57%),4
../mysql-files/source/1015/223456889acdf (70%),../mysql-files/source/1015/13899abbbcdd (66%),5
../mysql-files/source/1015/002566788bcdeff (51%),../mysql-files/source/1015/0113477777acceeff (52%),11
../mysql-files/source/1015/134458899abcdff (63%),../mysql-files/source/1015/11223355bbccddd (50%),9
../mysql-files/source/1015/2334456899bcdff (70%),../mysql-files/source/1015/13899abbbcdd (66%),4
../mysql-files/source/1015/13333789adefff (39%),../mysql-files/source/1015/134458899abcdff (63%),9
../mysql-files/source/1015/1255899acddf (66%),../mysql-files/source/1015/13899abbbcdd (66%),4
../mysql-files/source/1015/0334456678bef (57%),../mysql-files/source/1015/1245677888abbce (60%),7
../mysql-files/source/1015/0334456678bef (57%),../mysql-files/source/1015/14456778acef (57%),5
../mysql-files/source/1015/0002789ccdef (52%),../mysql-files/source/1015/1125799ccdeef (61%),7
../mysql-files/source/1015/0112355688bd (52%),../mysql-files/source/1015/0011222469aee (60%),4
../mysql-files/source/1015/0023388abbdef (61%),../mysql-files/source/1015/0002789ccdef (52%),7
../mysql-files/source/1015/011278cddeeeeff (61%),../mysql-files/source/1015/055689bbdf (63%),3
../mysql-files/source/1015/011278cddeeeeff (61%),../mysql-files/source/1015/0233378999abccdd (50%),3
../mysql-files/source/1015/00223344677aae (57%),../mysql-files/source/1015/001124568bcdf (66%),3
../mysql-files/source/1015/00223344677aae (57%),../mysql-files/source/1015/013588aabcdeff (66%),3
../mysql-files/source/1015/00223344677aae (57%),../mysql-files/source/1015/33455679ccddf (66%),3
../mysql-files/source/1015/0444579abbcccdee (60%),../mysql-files/source/1015/1125799ccdeef (60%),5
../mysql-files/source/1015/0444579abbcccdee (60%),../mysql-files/source/1015/02356789aacde (59%),4
../mysql-files/source/1015/1245677888abbce (57%),../mysql-files/source/1015/133346779bcdff (44%),5
../mysql-files/source/1015/1245677888abbce (57%),../mysql-files/source/1015/124567999bcf (60%),5
../mysql-files/source/1015/22266689adef (46%),../mysql-files/source/1015/02234569aee (55%),4
../mysql-files/source/1015/14456778acef (55%),../mysql-files/source/1015/133346779bcdff (44%),4
../mysql-files/source/1015/14456778acef (55%),../mysql-files/source/1015/124567999bcf (60%),4
../mysql-files/source/1015/011334577c (33%),../mysql-files/source/1015/02234569aee (55%),4
../mysql-files/source/1015/011334577c (33%),../mysql-files/source/1015/22266689adef (46%),4
../mysql-files/source/1015/0023388abbdef (60%),../mysql-files/source/1015/0444579abbcccdee (60%),4
../mysql-files/source/1015/013344556999aeef (52%),../mysql-files/source/1015/124567999bcf (60%),4
../mysql-files/source/1015/0055abbbccccde (55%),../mysql-files/source/1015/0444579abbcccdee (60%),4
../mysql-files/source/1015/0334456678bef (54%),../mysql-files/source/1015/045567aaeeeef (54%),4
../mysql-files/source/1015/13358999bcce (60%),../mysql-files/source/1015/133346779bcdff (44%),4
../mysql-files/source/1015/13358999bcce (60%),../mysql-files/source/1015/124567999bcf (60%),4
../mysql-files/source/1015/13358999bcce (60%),../mysql-files/source/1015/1245677888abbce (57%),5
../mysql-files/source/1015/13358999bcce (60%),../mysql-files/source/1015/14456778acef (55%),4
../mysql-files/source/1015/0357bbcdff (50%),../mysql-files/source/1015/001266899bdef (54%),4
../mysql-files/source/1015/4455666678ad (94%),../mysql-files/source/1015/044667aacdf (94%),13
../mysql-files/source/1015/02335679abee (56%),../mysql-files/source/1015/001266899bdef (54%),4
../mysql-files/source/1015/02335679abee (56%),../mysql-files/source/1015/0357bbcdff (50%),4
../mysql-files/source/1015/01234458abbcdef (42%),../mysql-files/source/1015/447899df (52%),6
../mysql-files/source/1015/01166889abbbbcef (94%),../mysql-files/source/1015/044667aacdf (94%),10
../mysql-files/source/1015/01166889abbbbcef (94%),../mysql-files/source/1015/4455666678ad (94%),13
../mysql-files/source/1015/3344589bbcdddef (43%),../mysql-files/source/1015/001266899bdef (54%),5
../mysql-files/source/1015/3344589bbcdddef (43%),../mysql-files/source/1015/0357bbcdff (50%),5
../mysql-files/source/1015/3344589bbcdddef (43%),../mysql-files/source/1015/02335679abee (56%),5
../mysql-files/source/1015/0345799aaabbbbcee (56%),../mysql-files/source/1015/01135789999ef (56%),3
../mysql-files/source/1015/01245556689aaceef (94%),../mysql-files/source/1015/044667aacdf (94%),11
../mysql-files/source/1015/01245556689aaceef (94%),../mysql-files/source/1015/4455666678ad (94%),13
../mysql-files/source/1015/01245556689aaceef (94%),../mysql-files/source/1015/01166889abbbbcef (94%),11
../mysql-files/source/1015/00113344578bbbe (38%),../mysql-files/source/1015/001266899bdef (54%),4
../mysql-files/source/1015/00113344578bbbe (38%),../mysql-files/source/1015/0357bbcdff (50%),4
../mysql-files/source/1015/00113344578bbbe (38%),../mysql-files/source/1015/02335679abee (56%),4
../mysql-files/source/1015/00113344578bbbe (38%),../mysql-files/source/1015/3344589bbcdddef (43%),5
../mysql-files/source/1015/0122556677888abbc (46%),../mysql-files/source/1015/0233378999abccdd (47%),9
../mysql-files/source/1015/013447999def (94%),../mysql-files/source/1015/044667aacdf (94%),9
../mysql-files/source/1015/013447999def (94%),../mysql-files/source/1015/4455666678ad (94%),13
../mysql-files/source/1015/013447999def (94%),../mysql-files/source/1015/01166889abbbbcef (94%),10
../mysql-files/source/1015/013447999def (94%),../mysql-files/source/1015/01245556689aaceef (94%),11
../mysql-files/source/1015/023344557899ac (94%),../mysql-files/source/1015/044667aacdf (94%),10
../mysql-files/source/1015/023344557899ac (94%),../mysql-files/source/1015/4455666678ad (94%),13
../mysql-files/source/1015/023344557899ac (94%),../mysql-files/source/1015/01166889abbbbcef (94%),10
../mysql-files/source/1015/023344557899ac (94%),../mysql-files/source/1015/01245556689aaceef (94%),11
../mysql-files/source/1015/023344557899ac (94%),../mysql-files/source/1015/013447999def (94%),10
../mysql-files/source/1015/2234799bbdee (60%),../mysql-files/source/1015/1122445678acdef (57%),8
../mysql-files/source/1015/0011222469aee (56%),../mysql-files/source/1015/4599aabceeff (52%),4
../mysql-files/source/1015/002246668acd (62%),../mysql-files/source/1015/055689bbdf (59%),8
../mysql-files/source/1015/0112355688bd (48%),../mysql-files/source/1015/4599aabceeff (52%),4
../mysql-files/source/1015/013344556999aeef (50%),../mysql-files/source/1015/133346779bcdff (42%),4
../mysql-files/source/1015/000034aacceee (61%),../mysql-files/source/1015/001124568bcdf (61%),10
../mysql-files/source/1015/013588aabcdeff (61%),../mysql-files/source/1015/000034aacceee (61%),8
../mysql-files/source/1015/0122556677888abbc (45%),../mysql-files/source/1015/1245677888abbce (54%),4
../mysql-files/source/1015/0122556677888abbc (45%),../mysql-files/source/1015/14456778acef (52%),4
