역 번호,역명,역간거리,소재지,소재지.1
216,문양,-,대구광역시,달성군
217,다사,2.9,대구광역시,달성군
218,대실(죽곡연합통증의학과),1,대구광역시,달성군
219,강창,1.4,대구광역시,달서구
220,계명대,1.3,대구광역시,달서구
221,성서산업단지((주)엘엔에프),1.2,대구광역시,달서구
222,이곡,0.8,대구광역시,달서구
223,"용산(서부법원,검찰청입구,가정법원, 대구학생문화센터)",1.3,대구광역시,달서구
224,죽전(구병원),0.9,대구광역시,달서구
225,감삼(대구S한방병원),0.9,대구광역시,달서구
226,두류(대구기독병원),0.8,대구광역시,달서구
227,내당(참튼튼병원),0.9,대구광역시,서구
228,반고개(열린큰병원),0.8,대구광역시,달서구
229,청라언덕(신남 • 척탑병원),0.9,대구광역시,중구
230,반월당,1,대구광역시,중구
231,경대병원(미르치과병원),0.9,대구광역시,중구
232,대구은행(대구교육청),1.1,대구광역시,수성구
233,"범어(법원,검찰청)",1,대구광역시,수성구
234,수성구청(KBS),0.9,대구광역시,수성구
235,만촌,0.9,대구광역시,수성구
236,담티(수성대·대륜),0.9,대구광역시,수성구
237,연호,1.8,대구광역시,수성구
238,대공원(삼성라이온즈파크),1,대구광역시,수성구
239,고산,1.2,대구광역시,수성구
240,신매(천주성삼병원),1.1,대구광역시,수성구
241,사월,1.1,대구광역시,수성구
242,정평(경산미르치과병원),1.1,경상북도,경산시
243,임당(경산시청),1.2,경상북도,경산시
244,영남대,1.1,경상북도,경산시
