"tench, Tinca tinca",0.22,soft-finned_fish,teleost_fish,bony_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
"goldfish, Carassius auratus",0.52,soft-finned_fish,teleost_fish,bony_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",0.92,shark,elasmobranch,cartilaginous_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
"tiger shark, Galeocerdo cuvieri",0.12,shark,elasmobranch,cartilaginous_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
"hammerhead, hammerhead shark",0.04,shark,elasmobranch,cartilaginous_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
"electric ray, crampfish, numbfish, torpedo",0.94,ray,elasmobranch,cartilaginous_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
stingray,0.16,ray,elasmobranch,cartilaginous_fish,fish,aquatic_vertebrate,vertebrate,chordate,animal,organism,living_thing
cock,0.78,bird,bird,bird,bird,bird,vertebrate,chordate,animal,organism,living_thing
hen,0.3,bird,bird,bird,bird,bird,vertebrate,chordate,animal,organism,living_thing
"ostrich, Struthio camelus",0.74,ratite,ratite,ratite,ratite,bird,vertebrate,chordate,animal,organism,living_thing
"brambling, Fringilla montifringilla",0.12,finch,finch,oscine,passerine,bird,vertebrate,chordate,animal,organism,living_thing
"goldfinch, Carduelis carduelis",0.12,finch,finch,oscine,passerine,bird,vertebrate,chordate,animal,organism,living_thing
"house finch, linnet, Carpodacus mexicanus",0.44,finch,finch,oscine,passerine,bird,vertebrate,chordate,animal,organism,living_thing
"junco, snowbird",0.8,finch,finch,oscine,passerine,bird,vertebrate,chordate,animal,organism,living_thing
"indigo bunting, indigo finch, indigo bird, Passerina cyanea",0.74,bunting,finch,oscine,passerine,bird,vertebrate,chordate,animal,organism,living_thing
"robin, American robin, Turdus migratorius",0.9,thrush,thrush,oscine,passerine,bird,vertebrate,chordate,animal,organism,living_thing
